start	end	text
0	24000	We won't come down for later on, watching the world spinning around, bringing you closer like ties to the moon
24000	31000	The sun is setting, but we're just beginning, it's feeling spinning, I'm forever winning
31000	38000	With you by my side, I know we'll never hide from the love that we found under summer sound
38000	45000	Summer love, it's more than a season, you're the reason I'm breathing
45000	57000	We're not leaving, we're staying forever like the ties to the moon, we'll be together
61000	65000	Yeah, yeah
65000	71000	Now the leaves are falling and the air is cold, but our love is burning, never growing old
71000	80000	We made a promise under the August moon that our summer love will never be through, forever summer, forever you and I
80000	83000	Under the same sky, never saying goodbye
83000	88000	Summer love, summer love
88000	95000	Take a walk around the beach, put your feet in the sand, don't you be scared, hold your head
95000	101000	Nothing can describe a feeling that I'm feeling I'm with you forever more, I'll never forget you
101000	107000	Baby, you can be my summer love
107000	111000	I want to buy what you want to get high, but you get in the car and drive with you
111000	118000	Baby, you can be my summer love
118000	125000	Baby, can you be my summer love
125000	131000	In room clouds puffing on loud, we won't come down for later on
131000	137000	Watching the world spinning around bring you closer like ties to the moon
137000	144000	Take a walk around the beach, put your feet in the sand, don't you be scared, hold your head
144000	150000	Nothing can describe a feeling that I'm feeling I'm with you forever more, I'll never forget you
150000	156000	Baby, you can be my summer love
156000	161000	I want to buy what you want to get high, but you get in the car and drive with you
161000	167000	Baby, you can be my summer love
167000	176000	Baby, can you be my summer love
191000	198000	I want to buy what you want to get high, but you get in the car
